연번,이름,나이,생년월일,주소,우편번호,직업명,휴대전화번호,이메일 주소,사용자명,카드번호,여권번호,차량번호
23,이은영,51,1972-04-20,대구광역시 용산구 준호류리 834-0,12396,기타 연극/영화 및 영상 관련 종사자,010-2662-2674,sunog04@nate.com,sunog04,5900-7067-0543-8414,T5530677,83고8786
24,김지현,23,2000-01-12,전라남도 논산시 보람윤마을 352-8,16973,화가 및 조각가,010-2464-3598,bagjeongnam@dreamwiz.com,bagjeongnam,6515-1605-5427-5716,G3452839,86머0259
25,박지민,27,1996-01-27,경상북도 군포시 영수김동 030-41,40526,작가 및 관련 전문가,010-8151-6864,yeji27@live.com,yeji27,2764-3722-3024-3340,D8848489,19주1323
26,권예원,41,1982-01-30,전라북도 여주시 지영한마을 103,30755,바닥재 시공원,010-4047-3981,kgim@live.com,kgim,3292-3673-7694-7602,D5485763,71더0656
27,이은지,32,1991-10-14,인천광역시 중구 정순김리 004-6,64180,기타 의복 제조원,010-8431-7226,hyeonjiu@naver.com,hyeonjiu,3087-3733-9748-6675,D5688306,76부2707
28,임정수,26,1997-08-01,인천광역시 영등포구 정수김나리 825-5,35534,기타 목재 및 종이 관련 기계조작원,010-6292-7969,eunseo94@live.com,eunseo94,3695-1432-0434-4685,G6479892,370배1147
29,이현주,34,1989-09-05,울산광역시 서구 순옥한읍 802,58970,도금 및 금속분무기 조작원,010-9312-2565,gangsumin@hotmail.com,gangsumin,1975-2420-1070-4911,D9417031,22구8831
30,고서연,25,1998-04-14,세종특별자치시 양천구 영진박이마을 371,82265,자연과학 시험원,010-0598-4725,iboram@gmail.com,iboram,1036-0970-1467-0164,T2110518,53러4759
31,안예원,61,1962-11-22,세종특별자치시 서구 성훈김김읍 754-5,16324,제품 생산관련 관리자,010-4804-9502,myeongsughwang@naver.com,myeongsughwang,7114-9234-8818-9814,S4371592,95누1311
32,장영진,32,1991-07-12,경상남도 안양시 만안구 상훈김김마을 601-97,99521,단열공,010-0689-9061,agim@gmail.com,agim,7903-1280-5591-0890,S6608527,952다3108
33,박정호,28,1995-12-30,충청북도 홍성군 성민한김동 336-3,21228,소년보호관 및 교도관,010-7102-8640,oi@gmail.com,oi,6817-4535-3592-9602,S5596059,211합6165
34,서주원,38,1985-05-11,대구광역시 강동구 성민김리 580,69282,도시 및 교통설계 전문가,010-1403-8421,bagyeongjin@gmail.com,bagyeongjin,6646-1581-8570-5806,T2522008,802보9295
35,안성수,20,2003-07-27,충청남도 예산군 상철박리 267-28,26460,제관원,010-7941-4945,dhwang@nate.com,dhwang,2973-8146-5872-2065,R9165951,25나8538
36,허성진,30,1993-02-23,제주특별자치도 보령시 도현엄고면 665,18989,육아 도우미,010-9011-2378,dohyeon09@hanmail.net,dohyeon09,1608-8251-1267-4455,T7102676,80배1090
37,허영환,49,1974-10-21,경기도 청주시 상당구 병철안류읍 034,54453,한식 주방장 및 조리사,010-3189-1586,nryu@dreamwiz.com,nryu,8790-0368-8626-7361,S7341388,23바3849
38,양예원,35,1988-07-26,경기도 광주시 경자이임면 243,83121,보육 교사,010-8329-4843,hi@hotmail.com,hi,3934-7609-0722-6880,G3326670,11무9141
39,김상철,26,1997-02-19,충청남도 영동군 준서이김면 925-19,30961,공업기계 설치 및 정비원,010-0553-7246,geonu68@live.com,geonu68,8651-8993-8203-8500,R7581864,725오3816
40,김서영,56,1967-07-14,서울특별시 강동구 보람배리 649,13880,제화원,010-1872-2622,hyejin80@daum.net,hyejin80,2364-3406-6260-5740,T6991969,582부5969
41,박성민,46,1977-07-30,울산광역시 도봉구 영숙최마을 343-1,79997,감정평가 전문가,010-7941-9950,tgim@daum.net,tgim,4100-2039-5589-0280,S2554478,406오2948
42,박서현,20,2003-11-05,울산광역시 서구 정식고허읍 308,92899,기타 운송장비 정비원,010-7636-3590,yunseoi@naver.com,yunseoi,9164-5341-6943-0682,R2642792,60허4658
43,최영진,54,1969-07-04,경상남도 홍천군 민석한황마을 275,18346,곡식작물 재배원,010-3456-1392,vyang@nate.com,vyang,6994-9195-7958-2914,G2755264,87다3020
44,고현지,65,1958-09-25,서울특별시 강남구 영호김김리 572,16616,단조기 조작원,010-8405-0184,tjo@gmail.com,tjo,6021-4147-9959-8435,D3544041,56마8212
45,배영수,35,1988-06-04,전라남도 철원군 보람이면 510-14,36524,기타 전기/전자기기 설치 및 수리원,010-7599-9362,honggyeongsu@daum.net,honggyeongsu,8291-6120-6362-0922,T7508662,98육5268
46,김동현,50,1973-05-26,대구광역시 은평구 준영임안리 465-68,26397,응급구조사,010-7730-5246,ogsuno@daum.net,ogsuno,9362-5624-9359-1916,G6464865,85보1866
47,이은정,46,1977-02-08,울산광역시 서구 은서권면 567-8,58247,수금원,010-6913-5636,seoyeongi@naver.com,seoyeongi,7134-0279-3890-9531,S6597827,64고3099
48,김정호,48,1975-07-24,부산광역시 송파구 민석윤읍 221,89256,숙박시설 서비스원,010-9472-6222,myeongja98@hanmail.net,myeongja98,3131-9147-4106-3039,R2073914,61호1826
49,하정수,32,1991-07-07,인천광역시 양천구 춘자강읍 497-03,26110,섬유공학 기술자 및 연구원,010-0620-8594,sanghyeonyun@hanmail.net,sanghyeonyun,5063-4863-6433-8482,R5112162,194러6475
50,권순옥,62,1961-04-27,대구광역시 강남구 유진김이동 523-54,33980,응급구조사,010-6306-4673,jiminbag@hotmail.com,jiminbag,4967-9524-0614-4319,R3945967,758호6607
51,송정희,45,1978-08-21,광주광역시 성북구 영미김동 930-06,68131,의회의원/고위공무원 및 공공단체임원,010-5216-0033,csong@live.com,csong,6596-6252-2169-0795,T3269081,69바9310
52,강정훈,30,1993-10-04,대구광역시 강북구 상훈박마을 513,48280,의지보조기기사,010-6355-7819,seunghyeon89@daum.net,seunghyeon89,4547-3138-1724-9591,R6524986,14육7221
53,성민수,34,1989-08-21,울산광역시 송파구 현주김읍 142-55,42665,보험 설계사 및 간접투자증권 판매인,010-3761-5925,minjun03@hotmail.com,minjun03,4080-9067-2330-7414,M6792539,83육2789
54,김옥자,50,1973-09-22,전라남도 아산시 지아박이마을 505,30558,정보 시스템 운영자,010-4794-2928,subinson@dreamwiz.com,subinson,8283-4503-7864-7455,R7155175,461거7530
55,주예준,47,1976-04-20,경상북도 용인시 명숙심나마을 769-26,81104,기타 의복 제조원,010-3634-3385,subinbag@hanmail.net,subinbag,7274-8007-7886-4373,T6873403,161해6746
56,김경숙,20,2003-01-11,강원도 음성군 재호최읍 389-5,54516,일식 주방장 및 조리사,010-2462-1076,caeweon75@daum.net,caeweon75,9762-0079-3551-9252,R5590298,279바2860
57,배상현,60,1963-07-15,제주특별자치도 삼척시 재현이리 589-81,34979,기타 배달원,010-2943-6385,mijeong48@hotmail.com,mijeong48,8036-8084-3191-2834,R2175387,88어4198
58,백명숙,45,1978-01-11,광주광역시 광진구 정남이김동 083-7,27424,악기제조 및 조율사,010-1518-8217,junseo47@hanmail.net,junseo47,6774-7004-8538-1124,T8664295,949머6528
59,홍서준,61,1962-04-01,충청남도 구리시 춘자이홍동 702,42617,금융관련 사무원,010-8355-7333,yejino@gmail.com,yejino,6129-9678-1028-8647,S9082953,10아1112
60,오준영,26,1997-01-24,충청남도 안양시 승민박한마을 803,11187,전자 부품 및 제품 제조 기계조작원,010-1785-4464,gimseungmin@live.com,gimseungmin,7507-0582-9619-9774,D9147928,226거9903
61,양재현,20,2003-03-05,경기도 남양주시 현우김동 503,94934,전기 및 전자 설비 조작원,010-6345-4050,gyeongsucoe@hotmail.com,gyeongsucoe,4952-0786-1549-9102,G6351380,69부7711
62,김옥자,58,1965-05-17,세종특별자치시 동구 영일서마을 294,85524,기타 서비스관련 단순 종사원,010-7173-0581,seojun94@nate.com,seojun94,3348-1498-7152-3662,S3218644,61허6442
63,최민석,57,1966-10-30,서울특별시 강북구 영희김김마을 670-2,86997,국악 및 전통예능인,010-0351-2796,coeeunji@dreamwiz.com,coeeunji,6976-3767-8629-4125,R4330396,23노5180
64,박상철,61,1962-02-24,부산광역시 송파구 지은한동 654-6,90087,증권 및 외환 딜러,010-7257-1819,caeweon83@nate.com,caeweon83,2832-3107-6693-6431,M4072039,29호9434
65,이미경,43,1980-10-09,세종특별자치시 강남구 옥순강박리 836-4,01330,화학제품 생산기 조작원,010-6917-7029,igyeonghyi@nate.com,igyeonghyi,1668-4125-4426-3997,M4604339,55어1472
66,허재현,56,1967-06-15,부산광역시 강남구 민재황면 166-36,99038,대학 교수,010-1218-4955,ygim@gmail.com,ygim,8403-0893-0910-6469,T3482152,95도1713
67,강지연,48,1975-08-23,부산광역시 강북구 서연윤동 928,46372,시각 디자이너,010-9416-3237,sugjayang@gmail.com,sugjayang,8235-4169-6889-3668,T5628615,92부0146
68,최예진,65,1958-03-13,경기도 양구군 상철유리 766-29,51796,구두 미화원,010-6707-1689,sangceol01@live.com,sangceol01,3784-9779-5775-3779,R8548228,15소0364
69,김건우,23,2000-06-22,부산광역시 영등포구 지민이장마을 007-92,11110,비서,010-6242-5135,jungsu85@live.com,jungsu85,7748-7038-7814-4238,S1150763,51노3007
70,차지원,60,1963-01-12,제주특별자치도 오산시 영길김리 716-2,78630,생명과학 시험원,010-1653-4881,ii@naver.com,ii,2489-7798-5364-7341,M7856098,79마0455
71,서정숙,45,1978-10-21,전라남도 평택시 건우허김리 416,82973,컴퓨터 하드웨어 기술자 및 연구원,010-6075-8928,ihyeonjun@hotmail.com,ihyeonjun,6398-6760-1070-8261,M6904830,784서3935
72,이정식,64,1959-03-12,세종특별자치시 성북구 경희고면 341,90013,기업고위임원,010-5164-3895,ygo@nate.com,ygo,8609-7214-2975-1418,R1198208,68머1929
73,허도윤,23,2000-02-12,서울특별시 구로구 광수이동 327-5,97780,공업기계 설치 및 정비원,010-9006-7396,ygim@dreamwiz.com,ygim,4327-4632-8997-4826,G6848777,881고9067
74,이지원,49,1974-04-09,울산광역시 중구 수민김김마을 644,82298,금속가공관련 제어장치 조작원,010-5413-5070,yeweon76@hotmail.com,yeweon76,1603-1351-3231-1554,D5945887,573어6837
75,이지혜,52,1971-01-17,울산광역시 중랑구 순자조이리 079-8,43781,웨이터,010-8242-8558,bagseohyeon@hotmail.com,bagseohyeon,9366-2703-4580-2309,M3238767,74나7850
76,박지후,38,1985-05-21,울산광역시 성북구 지원최우마을 274-11,18968,기타 종교관련 종사자,010-4746-1139,seongmin70@hotmail.com,seongmin70,5692-2632-6308-9747,R1974048,62합3183
77,최영환,31,1992-08-11,충청북도 강릉시 정자이박면 618-09,06519,국악 및 전통예능인,010-5906-8695,minsumin@dreamwiz.com,minsumin,8776-2206-8352-1397,D6078182,891러0156
78,이지영,53,1970-03-15,대구광역시 북구 유진오동 024-69,98506,섀시 조립 및 설치원,010-5079-3871,jieun64@dreamwiz.com,jieun64,9792-6912-9128-6760,S9908603,911보3427
79,유지훈,58,1965-06-12,경상남도 수원시 선영이읍 753-4,70509,화물열차 차장 및 관련 종사원,010-2784-4218,zi@daum.net,zi,9583-5785-7306-4979,D5100384,18아2578
80,김정호,28,1995-06-22,서울특별시 남구 아름김진동 880,39848,측량 및 지리정보 전문가,010-5742-1184,cgim@dreamwiz.com,cgim,5057-5589-5332-9030,S1529934,70거3040
81,박예은,36,1987-12-14,대전광역시 성동구 은주장손리 548-73,16861,가사 도우미,010-0496-9217,bagseohyeon@daum.net,bagseohyeon,2625-0574-4718-7631,S9448326,87조9855
82,진예지,38,1985-10-01,광주광역시 서대문구 상훈심이마을 158-5,02237,생명과학 시험원,010-3121-4850,yeongsun13@hanmail.net,yeongsun13,2661-3362-0445-2609,M7269544,447주4402
83,김수빈,41,1982-01-15,경상북도 과천시 동현박면 427-8,38880,제관원,010-5632-9758,baeseunghyeon@daum.net,baeseunghyeon,5330-0644-4931-4889,D1559011,91로4144
84,강지원,42,1981-09-08,경상북도 광명시 재현차동 574,94524,기타 문리/기술 및 예능 강사,010-9486-6983,ymun@nate.com,ymun,9779-3388-0090-0242,T1294634,74서6053
85,김정희,64,1959-03-24,전라북도 부천시 소사구 현우강김마을 771,29469,종이제품 생산기 조작원,010-2346-2238,eunjeong56@hanmail.net,eunjeong56,3742-2980-3341-6042,G2385909,47두3117
86,박영식,63,1960-07-17,인천광역시 서구 지훈윤동 294-19,02316,방수공,010-3535-8568,ijihun@live.com,ijihun,1053-8629-9848-6182,G7007674,46버4965
87,윤지후,48,1976-01-01,울산광역시 동대문구 준호최리 056,89387,위관급,010-2104-6716,yeongilheo@gmail.com,yeongilheo,5166-6795-1941-5376,M1131576,74저1055
88,김옥자,40,1983-07-09,충청남도 성남시 준호정읍 786-70,53083,기타 목재 및 종이 관련 기계조작원,010-6427-7107,egim@dreamwiz.com,egim,5675-1843-1048-5206,D3562704,615머8630
89,윤명자,28,1995-07-03,전라남도 청양군 옥순장이동 633-15,96172,관세행정 사무원,010-1358-7398,wi@daum.net,wi,7542-6020-7665-0786,T5020702,614노7573
90,신동현,58,1965-01-05,경기도 진천군 주원권이리 087-41,40025,전산 자료 입력원 및 사무 보조원,010-7677-1440,minogsun@daum.net,minogsun,7560-3844-9917-5349,R1102022,85무2615
91,황지현,23,2000-02-22,대구광역시 중구 현우김장읍 166,76808,보험 및 금융 관리자,010-6824-7846,minjuni@dreamwiz.com,minjuni,4822-1138-6491-9079,M6310517,29노4473
92,조광수,30,1993-11-28,대구광역시 송파구 현숙고김리 817,52557,대학 교육조교,010-9885-5709,junyeongsong@daum.net,junyeongsong,8086-5930-0089-5136,R8000486,46허4012
93,김성호,54,1969-05-14,경상북도 부여군 주원장동 980,24306,화물차 및 특수차 운전원,010-0437-8476,jihun30@live.com,jihun30,7933-1280-3028-6487,S1223659,327도0455
94,이현정,21,2002-08-01,세종특별자치시 광진구 영자김김면 086-97,87051,경찰관,010-2043-4099,yunjihun@nate.com,yunjihun,7967-6093-3183-3635,G8837629,49합6397
95,김정남,25,1998-07-15,충청북도 가평군 현주배동 899-36,97830,기타 미용관련 서비스 종사원,010-9751-6349,gangjeongsig@gmail.com,gangjeongsig,7823-2928-4514-4552,M5546778,52아3662
96,나서준,63,1960-05-06,제주특별자치도 원주시 영환최동 092-74,02264,국가/지방 및 공공행정 사무원,010-5814-8961,hongeunji@dreamwiz.com,hongeunji,6118-5076-6008-1994,M8624158,94누9265
97,김승민,54,1969-06-03,광주광역시 용산구 민수심마을 962-4,83448,점토제품 생산기 조작원,010-5978-8674,seohyeoncoe@dreamwiz.com,seohyeoncoe,2424-2218-8146-7518,R6636136,58두9442
98,곽민서,27,1996-10-25,제주특별자치도 동두천시 예준김이리 544-98,77381,도배공 및 유리 부착원,010-6898-5585,li@daum.net,li,5376-2624-7802-7267,M6792727,25해6836
99,박동현,27,1996-06-13,강원도 영월군 예준손마을 240,69804,사진인화 및 현상기 조작원,010-4016-5860,seohyeoni@hotmail.com,seohyeoni,9287-9039-3674-6215,T6801597,31무3133
100,장정자,22,2001-12-04,충청북도 화천군 미경서박동 175,02893,경찰관,010-6304-7799,jiayun@naver.com,jiayun,2452-5844-2284-0218,M4398026,61공7310
101,류수민,22,2001-07-18,대전광역시 성동구 춘자곽동 362-85,01150,위관급,010-7869-5928,gangeunjeong@naver.com,gangeunjeong,5269-8875-1179-3476,G4421341,80너3707
102,박영호,38,1985-01-05,강원도 태안군 경희심읍 925,66839,보조 교사 및 기타 교사,010-9148-8031,namseunghyeon@gmail.com,namseunghyeon,5279-4392-5735-8068,S1758031,60고9404
103,배병철,57,1966-11-27,울산광역시 관악구 서현한김읍 091-5,59216,보육 교사,010-5152-3377,jeongnamo@dreamwiz.com,jeongnamo,6954-3744-5190-1306,D8468674,73도5426
104,이현우,46,1977-07-22,제주특별자치도 양주시 현정안동 231-97,13621,우편물 집배원,010-4453-4098,ujiu@hotmail.com,ujiu,9249-5406-5219-1917,R2037914,26머0882
105,김준호,29,1994-09-11,광주광역시 구로구 정훈김오읍 767-23,44343,섀시 조립 및 설치원,010-5050-8356,jihye40@dreamwiz.com,jihye40,2365-9448-3929-2288,T8348226,73거8049
106,윤병철,59,1964-03-22,충청북도 천안시 서북구 지아박리 611-19,95158,금융관련 사무원,010-2560-3116,gimjeongsig@daum.net,gimjeongsig,7313-9659-7493-4794,R5861683,74주6461
107,박명자,64,1959-12-01,대구광역시 동구 정식이읍 048,81901,사회복지사,010-9263-2331,yeweon78@naver.com,yeweon78,5434-3388-0626-3569,D1381656,83러1244
108,윤종수,62,1961-01-22,제주특별자치도 계룡시 시우윤동 669,59328,기타 비금속제품관련 생산기 조작원,010-5134-7564,seunghyeonbag@daum.net,seunghyeonbag,2390-9255-4989-5368,T8526194,36사5493
109,김지우,36,1987-02-10,서울특별시 강동구 영호최동 779-0,34832,직조기 및 편직기 조작원,010-2890-9349,yunsumin@hanmail.net,yunsumin,9434-7014-7894-2975,G6158586,755고8039
110,성재현,46,1977-05-03,대전광역시 관악구 순자김이읍 663-4,62771,물품이동 장비 조작원,010-0503-8371,ggang@naver.com,ggang,8457-1400-5800-8141,G1699506,68무2999
111,김영진,23,2000-10-07,부산광역시 은평구 정호노김리 819-5,82178,홍보 도우미 및 판촉원,010-9026-4309,sunjai@nate.com,sunjai,5474-7566-7206-2505,G9985642,285어7407
112,김진우,50,1973-06-22,대전광역시 강서구 지현김면 489,16272,시각 디자이너,010-8360-1802,siugweon@dreamwiz.com,siugweon,7369-1699-3617-7942,R9299470,93고5681
113,이정식,26,1997-10-04,세종특별자치시 동대문구 영희이김읍 343-71,94111,건축 석공,010-1796-9559,jeongsigbag@nate.com,jeongsigbag,4052-2140-4051-2460,T6967036,36구6956
114,장지훈,25,1998-03-12,충청남도 홍성군 도윤이이면 786,69398,결혼 상담원 및 웨딩플래너,010-5538-6840,yeongsun68@daum.net,yeongsun68,8376-7453-6392-1502,T1742932,41우6173
115,서옥순,50,1973-03-05,강원도 성남시 중원구 영일오읍 910,55158,기타 종교관련 종사자,010-7628-4040,baghyeonjun@dreamwiz.com,baghyeonjun,8943-5510-8800-8322,R6332120,28마3393
116,류지후,27,1996-01-17,부산광역시 종로구 현정이류읍 845-73,29230,콘크리트공,010-5491-2600,jeongsugim@nate.com,jeongsugim,1049-6686-4044-0471,M1457141,586해1795
117,김은지,36,1987-04-10,경기도 용인시 수지구 영진정면 743-3,46203,광고 및 홍보 전문가,010-4290-3088,gimsubin@nate.com,gimsubin,4437-5976-3589-7458,R1673729,27바2416
118,노현지,63,1961-01-03,광주광역시 서초구 옥자윤전면 908-0,78085,청소원,010-9749-7940,pson@daum.net,pson,3949-0097-3233-9191,D5126766,589너1412
119,최민준,34,1990-01-01,서울특별시 서대문구 중수박조면 356,66030,보험 심사원 및 사무원,010-1727-6721,jihyegim@live.com,jihyegim,1760-2523-6842-9153,S2658580,16우7812
120,박경자,58,1965-06-26,전라북도 고양시 덕양구 민지김리 167,40374,대학 교육조교,010-6529-5697,ji@gmail.com,ji,3711-2247-7679-4089,T3241885,88저7344
121,이민지,41,1982-01-15,울산광역시 강동구 서현서마을 170-03,06158,과수작물 재배원,010-0728-0557,gwangsu48@hotmail.com,gwangsu48,8798-9481-7614-1074,R5762835,43누9572
122,양영수,39,1984-05-23,부산광역시 영등포구 영환구박동 653,62234,제분 및 도정 관련 기계 조작원,010-9344-2892,syang@hanmail.net,syang,6183-8876-0718-3030,D8127836,55어9626
123,김선영,33,1990-02-23,세종특별자치시 도봉구 서준박김리 782,66334,정보 시스템 운영자,010-3799-1785,ogweon@gmail.com,ogweon,5176-0069-2156-2578,D1341713,97바1733
124,류상호,35,1988-06-22,경기도 광주시 옥자이김리 325-73,77477,판금기 조작원,010-2125-8901,ei@daum.net,ei,3018-9968-8939-4849,D3837449,88누9682
125,이영자,40,1983-10-23,경상남도 남양주시 정식이김리 963-92,34734,아나운서 및 리포터,010-9753-3323,yeongceol79@hotmail.com,yeongceol79,1646-8172-5884-4090,S8716555,77합7659
126,이정희,56,1967-03-27,울산광역시 서대문구 수빈김리 169,71676,건축 목공,010-5657-3170,jieun87@live.com,jieun87,5974-5405-5253-6604,G7118646,380고9762
127,이시우,64,1959-12-10,대구광역시 구로구 영철강송리 338-0,83511,기타 직물 및 신발 관련 기계조작원 및 조립원,010-9985-9992,gimyeongsu@naver.com,gimyeongsu,3531-8741-2566-2071,T4483925,61저8696
128,박정식,41,1982-12-20,서울특별시 중구 혜진김이읍 215-1,49880,전자공학 기술자 및 연구원,010-1599-9488,jgim@nate.com,jgim,7963-9265-4879-6115,R5672049,52우9263
129,김건우,55,1968-04-16,충청북도 연천군 정숙서이동 554,00663,단조기 조작원,010-2625-3273,iyeongsun@hanmail.net,iyeongsun,6445-8375-1154-2805,T2610859,98소3362
130,구현지,34,1989-02-07,경상북도 예산군 옥자이리 130-5,66073,선박 및 열차 객실승무원,010-0567-9376,gimbyeongceol@gmail.com,gimbyeongceol,3599-5736-2732-0423,D1925023,79머7322
131,이승민,56,1967-01-18,경상북도 부천시 예원김강동 997-60,47351,기업고위임원,010-5467-7165,iseonyeong@live.com,iseonyeong,5579-5750-2830-6847,M2448320,16하0325
132,이민준,56,1967-02-14,서울특별시 강서구 정숙김마을 488-33,76022,전기 부품 및 제품제조 기계조작원,010-2633-4706,jongsu22@hotmail.com,jongsu22,9145-2302-2728-4380,D2912530,28모5603
133,김옥자,57,1966-01-28,경상남도 안양시 하윤홍박마을 647-36,51368,법률/경찰/소방 및 교도 관리자,010-5992-0732,seonghobag@hotmail.com,seonghobag,4650-2593-6033-1274,M6127269,91하7347
134,이영순,50,1973-04-03,경상남도 수원시 영통구 주원김면 695-43,52891,법률/경찰/소방 및 교도 관리자,010-6790-2092,kgim@naver.com,kgim,2170-5840-4934-7175,T2509549,81무3305
135,백민지,57,1966-04-07,전라북도 증평군 옥자남김마을 920,62741,방수공,010-4591-1001,myeongsug92@dreamwiz.com,myeongsug92,2919-6245-1750-2578,R6906308,77소9035
136,김지우,41,1982-10-13,대전광역시 중랑구 중수김이리 779-4,27837,자동차 영업원,010-0969-2194,hyeonui@live.com,hyeonui,5121-2003-8432-1319,S3368594,68루1510
137,윤도윤,21,2002-08-10,전라북도 포천시 지아이동 738-14,64153,운송관련 관리자,010-4935-6561,gimyeongjin@daum.net,gimyeongjin,2815-5958-2103-0310,D3087315,92마7405
138,안준서,63,1960-09-22,울산광역시 강서구 서준이한리 607-12,47208,물품이동 장비 조작원,010-2542-7776,gweonjuweon@nate.com,gweonjuweon,2216-2436-4799-5867,G4163567,68합6575
139,유수민,22,2001-07-20,강원도 태백시 영순박김읍 434,03579,사회복지관련 관리자,010-4362-3544,zbag@hanmail.net,zbag,6492-5508-9514-3486,T9626051,56루8918
140,김영호,35,1988-08-29,부산광역시 마포구 주원백최동 864,84878,기타 건설관련 기능 종사원,010-7923-5744,jiyeon58@hotmail.com,jiyeon58,6549-0309-1911-2137,S4836751,289러0737
141,김영미,53,1970-09-07,경기도 양주시 준서김면 140-1,44809,여행 및 관광통역 안내원,010-3695-7947,zi@hotmail.com,zi,1925-0211-6591-6557,G3984263,76서5776
142,문건우,49,1974-02-15,경상북도 가평군 재호박동 451-0,47729,유리제조 및 가공기 조작원,010-4358-5283,ihyeonji@dreamwiz.com,ihyeonji,6013-4521-5371-4294,R4162138,172해0389
